Question,Option1,Option2,Option3,Option4,CorrectIndex,ImagePath
Which of the following is a proper example of variable declaration of a string?,readiness_level = "aur naur",readiness_level = aur naur,readiness_level == aur naur,readiness_level == "aur naur",0,
Which of the following is a proper example of variable declaration?,correct = true,correct == true,correct_answer = "The War of " 1812,correct_answer = "The War of 1812",3,
How could I make a new variable that is the total number of dunks Steph made while he was younger than 30?,While = 7,while = 7,while_not_thirty = 7,dunks_while_not_thirty = 7,3,
Which of the following variables is NOT named according to snake case?,track_athlete heart_rate,resting_heart_rate,bpm,_tracker_battery,0,
Which of the following is a valid variable name?,sleepy_(and/or)_tired,heLLO123,4th_basket,total_$_amount,1,
There are ___ different variables in the following list: ignite | iGniTe | _iGniTe | ignite | IgnItE | IgnI_tE.,3,4,5,6,2,
Which of the following correctly reassigns the value of the variable mood if the first line of your code is mood = "happy"?,mood.equals("sad"),mood = 9,mood2 = "nervous",mood == "excited",1,
What's one thing you don't gotta do when swapping the values between two variables?,Add a temporary variable,Label it val_3,Assign the original variables a value,Swap the variables,1,
What is printed when x = "13"$%^&y = "7"$%^&print(x+y),137,713,20,x+y,0,
Which one correctly assigns a variable?,my_age = "17",my_age == "17",myage is 17,MYAGE = "17",0,
What is the output?$%^&my_age=17$%^&sister_age=10$%^&mom_age=39$%^&combined_age = my_age + mom_age + sister_age$%^&print(combined_age),66,combined_age,171039,173910,0,
What is the output?$%^&x=20$%^&y=5$%^&x=10$%^&y=x+y$%^&print(y),15,25,5,105,0,
What is the output?$%^&num_players="4"$%^&num_turns="25"$%^&print(num_players + Num_turns),29,425,254,num_players + num_turns,1,
What does the following code print?$%^&x=6+3$%^&y=x$%^&print(y),y,6,9,3,2,
What is the output?$%^&first_average=20$%^&second_average=30$%^&third_average=first_average + second_average$%^&print(third_average)?,2030,50,first_average + second_average,third_average,1,
What is the output?$%^&score = 15$%^&bonus_points = 5$%^&score = (score + bonus_points)$%^&print(score)is called?,15,155,10,20,3,
What is the output?$%^&x = 4$%^&y = 3$%^&x = x + y$%^&y = x - y$%^&print(xy),71,43,17,34,0,
What is the output?$%^&x = 9$%^& = "3"$%^&print(str(x)+y),9"3",93,12,Error,1, 
What is the output?$%^&num = 10$%^&num = num *2$%^&num = num + 5$%^&print(num),10,20,25,30,2,
What is the output?$%^&x = 5$%^&x = x*2$%^&x = x-3$%^&print(x),8,7,10,2,1,
What is the output?$%^&a = 4$%^&b = 5$%^&a = a + b$%^&print(a),9,4,5,1,0,
What is the output?$%^&x = 10$%^&x = x + 5$%^&print(x),10,5,7,15,3,
Which one prints 5.0 without errors?,num_students = 25$%^&num_teachers = 5$%^&students_teachers = num_students / num_teachers$%^&print(students_teachers), num_students = "25"$%^&num_teachers = "5"$%^&students_teachers = num_students / num_teachers$%^&print(students_teachers),num_students = 25$%^&num_teachers = num_students$%^&student_teachers = num_students / num_teachers$%^&print(students_teachers), num_students = "25"$%^&num_teachers = num_students$%^&students_teachers = num_students / num_teachers$%^&print(students_teachers),0,
What is the output?$%^&x = 10 + 3$%^&y = x$%^&print(y),y,3,10,13,3,
What is the output?$%^&a = 5 * 1$%^&b = 2$%^&c = a + b$%^&c=d$%^&print(c+d),5,7,14,16,2,
What is the output?$%^&num_points = 10$%^&num_extra_points = 2$%^&total_points = num_points + num_extra_points$%^&print(total_points),10,12,7,8,1,
What is the output?$%^&a = 5$%^&b = 2$%^&a = a + a$%^&c = a + b$%^&print(c),7,12,10,3,1,
What is the output?$%^&num = 6$%^&second_num = num + 1$%^&total_num = num + second_num$%^&print(total_num)?,67,66,13,1,2,
Which name breaks snake case rules?,total_points,totalPoints,total_points_today,_total_points,1,
Which variable name is NOT valid in Python?,hello_123,HelloWorld,many_words_here,total$amount,3,
Which variable name uses snake case?,favoriteFood,favorite-food,favorite_food,Favorite_Food,2,
Which of these is NOT allowed in Python variable name?,numbers,underscores,uppercases,spaces,3,
What is printed when pizza_slices = 10$%^&pizza_slices = pizza_slices-3$%^&print(pizza_slices),3,7,13,10,1,
Which one correctly changes the value of score?,score==5,score=score+5,score+5=score,score=+5,1,
What is the output: $%^&a=4$%^&b=2$%^&a=b$%^&print(a),4,2,a,Error,1,
What is the output: $%^&count=12$%^&count=count+1$%^&count=count-5$%^&print(count)?,12,13,8,6,2,
Which of these is snake case AND allowed in Python?,big-dog-name,bigDogName,big_dog_name,dog.name.big,2,
Which one of these is a string variable?,score=10,score="10",score=10+10,score=="10",1,
